marital_status,age,gender,Race,Income,education_level
Married,66,Female,White,14398,High_School
Married,95,Female,White,129727,Above_Bachelor
Not_Married,79,Male,Other,109278,Above_Bachelor
Not_Married,89,Male,American Indian,32943,Bachelor
Not_Married,33,Male,Black,7142,Bachelor
Married,70,Male,Other,69853,Some_College
Not_Married,94,Female,Asian,11593,High_School
Not_Married,51,Male,Other,39945,Below_High_School
Married,49,Male,American Indian,30716,Above_Bachelor
Not_Married,45,Male,Other,85826,Some_College
Not_Married,80,Male,Black,124341,Bachelor
Not_Married,55,Female,Black,147783,Below_High_School
Not_Married,55,Male,Other,60322,Bachelor
Not_Married,87,Male,American Indian,130925,Above_Bachelor
Not_Married,33,Female,Other,100331,Bachelor
Married,48,Male,Other,61722,Above_Bachelor
Not_Married,99,Female,Other,147045,Bachelor
Married,26,Female,White,133907,Above_Bachelor
Not_Married,84,Male,Other,147074,Below_High_School
Married,84,Female,American Indian,46311,Below_High_School
Not_Married,23,Female,Asian,115924,Below_High_School
Married,64,Male,Asian,83373,Above_Bachelor
Not_Married,66,Male,White,94142,High_School
Married,64,Male,White,75563,Some_College
Not_Married,72,Male,White,92359,High_School
Married,99,Male,Black,27166,High_School
Not_Married,47,Female,American Indian,50989,Some_College
Not_Married,48,Female,Black,123884,Below_High_School
Not_Married,79,Female,Black,127168,Above_Bachelor
Married,69,Female,Asian,75488,Below_High_School
Not_Married,93,Female,American Indian,81328,Below_High_School
Married,67,Male,White,142157,Some_College
Married,45,Male,White,10479,Below_High_School
Not_Married,65,Male,Asian,44732,Below_High_School
Not_Married,81,Female,American Indian,26700,Bachelor
Married,51,Female,American Indian,98754,Below_High_School
Not_Married,40,Male,Other,97798,Bachelor
Married,97,Male,Black,131579,Above_Bachelor
Not_Married,42,Female,Black,147783,Bachelor
Not_Married,44,Female,American Indian,119100,Below_High_School
Not_Married,39,Female,Black,74622,High_School
Married,63,Male,Black,57731,Bachelor
Married,21,Male,Other,28575,Above_Bachelor
Not_Married,76,Male,Asian,107217,Some_College
Not_Married,67,Male,White,13144,Bachelor
Not_Married,25,Male,Other,41819,Some_College
Married,86,Male,Other,76639,Below_High_School
Married,67,Male,American Indian,82012,Some_College
Not_Married,74,Male,Other,122394,Below_High_School
Married,29,Female,American Indian,56146,Below_High_School
Not_Married,93,Male,Other,35466,Some_College
Not_Married,100,Male,Asian,83135,Some_College
Not_Married,93,Male,White,96416,Some_College
Not_Married,45,Male,Black,131938,High_School
Not_Married,46,Male,Black,138599,Some_College
Married,48,Female,Asian,129652,High_School
Married,98,Female,White,122479,High_School
Married,84,Male,Asian,83988,High_School
Married,82,Female,Asian,91577,Above_Bachelor
Married,33,Male,White,82712,Above_Bachelor
Married,22,Male,White,60788,Bachelor
Not_Married,90,Male,Black,50732,Some_College
Married,62,Female,Black,38216,Above_Bachelor
Married,55,Female,Black,123949,Below_High_School
Married,75,Female,White,129262,High_School
Not_Married,91,Male,Asian,43831,High_School
Not_Married,69,Female,White,77557,Bachelor
Not_Married,51,Male,American Indian,38069,High_School
Not_Married,73,Male,Black,92781,High_School
Not_Married,78,Male,White,131015,Below_High_School
Married,66,Female,Asian,52193,Bachelor
Not_Married,56,Male,Other,147252,Above_Bachelor
Not_Married,73,Male,Black,43439,Above_Bachelor
Not_Married,30,Male,White,80418,Below_High_School
Not_Married,18,Female,Asian,52199,High_School
Not_Married,95,Male,Asian,89442,Above_Bachelor
Not_Married,48,Female,White,96650,Bachelor
Married,25,Female,American Indian,77337,Above_Bachelor
Married,87,Female,Black,80196,High_School
Married,67,Male,White,19919,Some_College
Not_Married,83,Female,Other,136515,High_School
Married,62,Male,American Indian,8404,High_School
Not_Married,45,Female,American Indian,136757,High_School
Married,35,Female,American Indian,137150,Below_High_School
Not_Married,47,Female,American Indian,49738,Below_High_School
Not_Married,27,Male,Asian,129574,High_School
Married,32,Female,Other,148217,Above_Bachelor
Not_Married,21,Male,Black,74999,Below_High_School
Married,21,Male,Black,96415,High_School
Married,66,Male,Other,88859,High_School
Married,63,Female,Asian,90014,Below_High_School
Married,77,Female,White,121679,Below_High_School
Not_Married,22,Female,Other,81587,High_School
Married,43,Female,Asian,40040,Some_College
Not_Married,84,Male,American Indian,134754,Below_High_School
Not_Married,23,Female,American Indian,66445,Above_Bachelor
Not_Married,33,Female,Asian,149802,Below_High_School
Not_Married,24,Female,Other,115549,Some_College
Not_Married,46,Female,White,63656,Bachelor
Not_Married,78,Female,American Indian,137927,High_School
Married,43,Female,Black,132258,Above_Bachelor
Not_Married,97,Male,Asian,48475,High_School
Married,96,Female,Black,90933,Bachelor
Not_Married,78,Male,White,140863,Bachelor
Not_Married,83,Male,American Indian,97008,Above_Bachelor
Married,34,Female,Other,25488,Bachelor
Not_Married,32,Female,Other,96312,High_School
Not_Married,44,Male,Other,61664,Some_College
Not_Married,69,Female,Black,92,Some_College
Not_Married,28,Male,Black,83201,Above_Bachelor
Married,34,Male,Black,50274,Some_College
Not_Married,66,Female,Black,116642,High_School
Married,73,Male,Asian,79450,Some_College
Married,49,Female,White,148102,Bachelor
Not_Married,75,Male,American Indian,58681,Some_College
Not_Married,99,Female,American Indian,121501,Below_High_School
Married,18,Female,White,116788,High_School
Not_Married,93,Female,Black,27955,High_School
Married,18,Female,Other,71631,Some_College
Not_Married,81,Female,White,28479,High_School
Not_Married,33,Female,Asian,23421,Bachelor
Not_Married,94,Male,Other,141481,Some_College
Not_Married,49,Male,White,144568,Some_College
Married,47,Male,White,11020,Bachelor
Not_Married,54,Female,American Indian,49878,Bachelor
Married,80,Male,Asian,24449,Above_Bachelor
Married,97,Male,Other,126019,Some_College
Married,89,Female,Black,143263,High_School
Not_Married,89,Female,White,144412,High_School
Married,50,Female,Other,53479,Some_College
Married,35,Female,Other,72934,Below_High_School
Not_Married,44,Male,American Indian,55075,Bachelor
Not_Married,41,Male,White,28302,Some_College
Not_Married,75,Female,Black,68155,Below_High_School
Married,79,Male,White,28730,Some_College
Not_Married,94,Female,Asian,40407,High_School
Married,34,Male,Asian,147636,Below_High_School
Married,98,Male,Other,4887,Below_High_School
Not_Married,86,Male,White,52362,Bachelor
Married,49,Male,Other,73240,Some_College
Married,93,Male,Other,130814,Above_Bachelor
Not_Married,73,Female,Asian,107831,Above_Bachelor
Married,24,Male,Black,76954,Bachelor
Not_Married,64,Female,Black,62140,Above_Bachelor
Not_Married,70,Male,American Indian,2286,High_School
Married,48,Male,Asian,95080,Below_High_School
Not_Married,77,Male,American Indian,111345,Some_College
Married,18,Male,Black,75382,Some_College
Married,60,Female,American Indian,78476,Bachelor
Not_Married,100,Male,White,146430,Below_High_School
Not_Married,75,Female,Black,119064,High_School
Not_Married,63,Female,White,149796,Above_Bachelor
Not_Married,56,Male,Black,76786,Bachelor
Married,37,Female,White,51284,Some_College
Not_Married,59,Male,Black,76869,Below_High_School
Not_Married,31,Female,White,66826,Below_High_School
Not_Married,45,Male,Black,128,Below_High_School
Married,58,Female,Black,148107,Below_High_School
Not_Married,78,Male,Black,58995,High_School
Not_Married,63,Female,Other,140412,High_School
Married,82,Female,Black,74938,Bachelor
Not_Married,20,Female,Other,32075,Above_Bachelor
Married,83,Male,American Indian,69400,Above_Bachelor
Married,26,Male,Other,145158,High_School
Married,41,Female,White,76097,Bachelor
Married,45,Female,Other,27638,Bachelor
Not_Married,98,Male,Other,129077,Below_High_School
Not_Married,39,Male,Other,12692,High_School
Married,32,Female,Asian,148025,Above_Bachelor
Married,63,Male,Black,109513,Some_College
Married,35,Male,American Indian,55964,Some_College
Not_Married,55,Male,White,137762,Bachelor
Not_Married,87,Male,White,119827,Above_Bachelor
Married,60,Male,Black,82519,Above_Bachelor
Not_Married,69,Female,White,23797,Some_College
Not_Married,42,Female,White,132193,High_School
Not_Married,36,Male,Other,79409,Below_High_School
Not_Married,21,Male,American Indian,14616,Bachelor
Not_Married,85,Female,American Indian,97409,Bachelor
Not_Married,99,Male,American Indian,63130,High_School
Not_Married,60,Male,White,132494,Above_Bachelor
Not_Married,64,Male,White,94367,Some_College
Not_Married,74,Female,Other,135108,Below_High_School
Married,43,Male,Other,131121,Some_College
Married,67,Female,Other,123489,Bachelor
Married,35,Female,Asian,77930,Below_High_School
Married,65,Female,White,90401,Below_High_School
Not_Married,42,Female,Other,47410,High_School
Married,18,Male,Black,26854,Bachelor
Married,50,Male,Other,145551,Bachelor
Not_Married,29,Female,Asian,57008,Bachelor
Not_Married,60,Female,Asian,82045,Below_High_School
Not_Married,93,Female,White,98696,Above_Bachelor
Married,43,Male,American Indian,104177,High_School
Married,38,Female,Asian,133448,Some_College
Married,51,Female,Other,95200,Bachelor
Not_Married,59,Female,White,8505,Above_Bachelor
Married,68,Female,Other,96366,Below_High_School
Not_Married,71,Male,Asian,143526,Some_College
Not_Married,57,Female,Other,78138,Above_Bachelor
Married,33,Male,Other,147302,Below_High_School
Not_Married,97,Male,Black,28465,Bachelor
Not_Married,23,Female,Asian,30771,Above_Bachelor
Not_Married,78,Male,White,83919,Below_High_School
Married,63,Female,Asian,44921,Bachelor
Not_Married,30,Male,White,95114,Bachelor
Married,90,Male,Black,95969,High_School
Not_Married,79,Male,American Indian,49800,Below_High_School
Married,20,Male,White,25304,Above_Bachelor
Married,41,Male,Black,89503,Bachelor
Married,37,Female,American Indian,56929,Above_Bachelor
Married,63,Male,White,82957,High_School
Not_Married,35,Male,Other,44821,Below_High_School
Not_Married,49,Female,White,44364,High_School
Married,87,Male,Asian,124209,High_School
Married,44,Female,Asian,112520,Some_College
Not_Married,96,Female,American Indian,52588,Below_High_School
Not_Married,50,Male,Asian,7487,Below_High_School
Married,78,Male,Asian,98079,Some_College
Not_Married,72,Female,American Indian,94148,Below_High_School
Not_Married,97,Female,White,87634,Below_High_School
Married,84,Male,Other,41702,Some_College
Married,39,Female,Black,86028,Above_Bachelor
Married,18,Male,White,89485,High_School
Married,31,Male,American Indian,66067,Below_High_School
Not_Married,84,Male,American Indian,35031,Above_Bachelor
Not_Married,35,Female,Other,38549,Below_High_School
Not_Married,24,Female,Other,92187,High_School
Not_Married,71,Male,White,1196,High_School
Married,84,Male,Black,73252,Some_College
Not_Married,35,Male,American Indian,29884,Bachelor
Married,31,Male,White,98136,High_School
Married,25,Male,Black,141964,Bachelor
Married,37,Male,Asian,132018,Bachelor
Married,72,Male,Asian,85087,Bachelor
Married,38,Male,White,123291,Bachelor
Married,58,Male,Asian,120287,Some_College
Not_Married,75,Female,Asian,135060,Below_High_School
Not_Married,54,Male,Black,12844,Above_Bachelor
Not_Married,20,Female,Asian,30690,Above_Bachelor
Not_Married,86,Male,White,112955,Bachelor
Not_Married,42,Female,American Indian,109932,Above_Bachelor
Not_Married,33,Male,Black,684,High_School
Not_Married,91,Female,Black,107625,Below_High_School
Not_Married,61,Male,Asian,47099,Bachelor
Not_Married,70,Male,Asian,118702,Bachelor
Married,39,Female,Black,79638,High_School
Not_Married,21,Male,American Indian,139199,Above_Bachelor
Married,40,Female,Other,34175,Some_College
Not_Married,70,Female,Asian,144834,Some_College
Not_Married,38,Female,White,33991,Below_High_School
Married,45,Female,American Indian,36319,High_School
Married,47,Female,White,113198,Below_High_School
Married,90,Female,Asian,17523,High_School
Married,27,Female,White,33843,Below_High_School
Not_Married,31,Female,American Indian,81828,Bachelor
Married,30,Female,White,149617,Bachelor
Not_Married,47,Male,Asian,66847,Above_Bachelor
Not_Married,64,Male,Asian,92362,Bachelor
Not_Married,53,Male,Black,40976,Bachelor
Not_Married,45,Male,Other,138420,Below_High_School
Married,65,Male,American Indian,60278,Some_College
Not_Married,80,Male,White,61892,Below_High_School
Not_Married,44,Male,American Indian,91824,Above_Bachelor
Married,94,Male,Black,33424,Some_College
Married,45,Female,Black,139787,High_School
Married,33,Male,Black,129433,High_School
Not_Married,18,Male,American Indian,121428,Above_Bachelor
Not_Married,67,Male,White,149570,Bachelor
Married,81,Male,White,96753,Above_Bachelor
Married,91,Female,Asian,37877,Below_High_School
Married,78,Male,American Indian,11907,Above_Bachelor
Not_Married,48,Female,Black,87633,Bachelor
Married,80,Female,American Indian,134983,Some_College
Not_Married,22,Female,Black,4776,Some_College
Married,79,Female,White,123998,Some_College
Married,56,Male,American Indian,96474,Below_High_School
