marital_status,age,gender,Race,Income,education_level
Married,80,Male,White,65200,Above_Bachelor
Not_Married,20,Female,White,10000,Some_College
Married,75,Male,White,98400,Bachelor
Married,82,Female,Other,6000,Below_High_School
Married,36,Female,White,137000,Bachelor
Not_Married,26,Female,White,10000,Bachelor
Not_Married,21,Female,Black,25000,Some_College
Married,59,Female,White,60000,High_School
Not_Married,19,Female,White,0,Some_College
Married,54,Female,White,0,High_School
Married,70,Female,Other,6000,High_School
Not_Married,27,Female,White,53000,Some_College
Not_Married,20,Female,Other,5000,Some_College
Married,35,Female,Black,80000,Bachelor
Not_Married,31,Male,Black,50000,Some_College
Married,41,Female,White,11000,High_School
Not_Married,42,Male,White,100000,Bachelor
Married,58,Female,White,5000,Bachelor
Married,66,Male,Asian,24300,Below_High_School
Married,27,Female,White,35100,Above_Bachelor
Married,85,Male,White,44440,Some_College
Not_Married,17,Female,White,18500,Below_High_School
Married,82,Female,White,15100,Bachelor
Not_Married,18,Male,White,0,Below_High_School
Married,38,Female,Other,4500,Some_College
Married,83,Female,Other,1400,Below_High_School
Married,32,Male,Other,57000,Below_High_School
Married,70,Female,White,33200,High_School
Married,53,Male,White,150000,High_School
Married,89,Female,Black,0,High_School
Married,39,Female,White,22100,Above_Bachelor
Married,57,Male,Black,49300,High_School
Not_Married,69,Female,Other,8200,Below_High_School
Married,52,Male,White,409000,Bachelor
Married,60,Female,White,42400,Some_College
Married,62,Female,White,21200,High_School
Married,93,Female,White,11000,High_School
Married,51,Female,White,770000,Above_Bachelor
Married,65,Female,White,29000,High_School
Not_Married,60,Male,White,0,High_School
Not_Married,20,Male,White,35000,Some_College
Married,49,Female,White,90000,Some_College
Married,48,Female,Other,148000,Some_College
Married,41,Female,Other,0,Bachelor
Married,72,Female,White,21600,Some_College
Not_Married,22,Male,White,70000,High_School
Married,51,Female,White,50000,High_School
Married,60,Female,White,16800,Some_College
Married,67,Male,White,98000,Some_College
Married,33,Male,White,46000,High_School
Married,57,Female,White,0,Above_Bachelor
Not_Married,22,Female,Other,0,High_School
Married,95,Male,White,24000,High_School
Married,33,Female,White,47600,Above_Bachelor
Married,66,Female,White,96000,Above_Bachelor
Married,50,Female,White,90000,Above_Bachelor
Married,48,Female,White,100000,Above_Bachelor
Not_Married,72,Male,White,23800,Some_College
Married,30,Female,White,36500,High_School
Not_Married,58,Female,Other,0,Below_High_School
Married,52,Female,Other,18500,Below_High_School
Married,72,Male,White,32700,Bachelor
Married,76,Female,Other,30500,Some_College
Not_Married,80,Female,White,43000,Bachelor
Married,34,Male,White,71000,High_School
Not_Married,21,Male,White,0,High_School
Not_Married,83,Female,White,1700,High_School
Married,28,Male,White,78000,High_School
Married,32,Male,White,127600,Above_Bachelor
Not_Married,19,Female,Other,33000,Some_College
Married,79,Female,White,12000,Above_Bachelor
Married,74,Male,White,219610,Above_Bachelor
Not_Married,28,Female,White,12400,High_School
Married,41,Female,White,60000,Bachelor
Married,76,Male,White,10700,Above_Bachelor
Not_Married,37,Female,Other,23000,High_School
Married,65,Male,White,60000,Some_College
Married,46,Female,Other,110000,Above_Bachelor
Married,40,Female,White,52000,Bachelor
Married,79,Male,White,234000,Above_Bachelor
Married,39,Male,White,40000,High_School
Married,90,Female,White,11300,High_School
Not_Married,21,Female,White,0,Some_College
Married,69,Male,White,111300,Above_Bachelor
Married,75,Female,Other,17200,High_School
Married,74,Female,White,39200,Above_Bachelor
Not_Married,22,Female,Asian,30000,High_School
Married,31,Female,White,42100,Some_College
Married,55,Female,White,25010,Above_Bachelor
Married,62,Female,White,169000,Above_Bachelor
Married,52,Female,White,0,High_School
Married,53,Male,White,130100,Bachelor
Married,40,Female,White,0,Above_Bachelor
Married,64,Male,White,3500,High_School
Married,53,Female,Asian,0,Bachelor
Married,75,Female,White,37100,High_School
Not_Married,25,Female,Black,7800,Some_College
Married,77,Female,White,50700,High_School
Married,71,Male,White,13700,High_School
Married,86,Female,White,0,High_School
Married,67,Male,White,96000,Bachelor
Married,65,Male,White,0,High_School
Not_Married,21,Female,White,0,Some_College
Married,27,Male,Other,65400,High_School
Not_Married,46,Male,White,150000,Above_Bachelor
Married,25,Male,White,15000,High_School
Married,34,Male,Asian,479000,Bachelor
Not_Married,67,Female,White,120000,Above_Bachelor
